solv_i_id,molefrac_i,ln_gamma_i
solvent_3 / solvent_535,1 / 0,0 / 2.37
solvent_3 / solvent_337,1 / 0,0 / 1.62
solvent_3 / solvent_262,1 / 0,0 / 0.22
solvent_3 / solvent_161,1 / 0,0 / 1.31
solvent_3 / solvent_560,1 / 0,0 / 0.9
solvent_4 / solvent_705,1 / 0,0 / 1.16
solvent_4 / solvent_558,1 / 0,0 / 1.53
solvent_4 / solvent_535,1 / 0,0 / 1.27
solvent_4 / solvent_337,1 / 0,0 / 1.03
solvent_4 / solvent_262,1 / 0,0 / -0.22
solvent_4 / solvent_161,1 / 0,0 / 0.59
solvent_4 / solvent_560,1 / 0,0 / 0.34
solvent_4 / solvent_222,1 / 0,0 / -1.05
ref_52 / solvent_262,1 / 0,0 / 0.1
ref_52 / solvent_782,1 / 0,0 / 0.1
ref_52 / solvent_454,1 / 0,0 / 0.41
solvent_480 / solvent_262,1 / 0,0 / 0.5
solvent_480 / solvent_782,1 / 0,0 / 0.49
solvent_481 / solvent_705,1 / 0,0 / 1.5
solvent_481 / solvent_535,1 / 0,0 / 1.5
solvent_481 / solvent_337,1 / 0,0 / 1.42
solvent_481 / ref_34,1 / 0,0 / 1.63
solvent_481 / solvent_527,1 / 0,0 / 1.76
solvent_481 / ref_103,1 / 0,0 / 1.73
solvent_481 / solvent_677,1 / 0,0 / 1.86
solvent_481 / ref_70,1 / 0,0 / 1.72
solvent_481 / ref_144,1 / 0,0 / 1.82
solvent_481 / ref_48,1 / 0,0 / 1.6
solvent_481 / solvent_666,1 / 0,0 / 1.97
solvent_481 / solvent_262,1 / 0,0 / 0.18
solvent_756 / solvent_535,1 / 0,0 / 5.91
solvent_756 / solvent_337,1 / 0,0 / 4.88
solvent_756 / solvent_262,1 / 0,0 / 2.03
solvent_756 / solvent_161,1 / 0,0 / 3.81
solvent_756 / solvent_560,1 / 0,0 / 2.98
solvent_488 / solvent_337,1 / 0,0 / 0.67
ref_143 / solvent_337,1 / 0,0 / 0.46
solvent_412 / solvent_337,1 / 0,0 / 1.22
ref_137 / solvent_535,1 / 0,0 / 0.79
ref_137 / solvent_222,1 / 0,0 / 0.07
